index,instrument_name,instrument_type,is_active,tick_size,option_type,strike,expiry,minimum_amount,amount_step,maker_fee_rate,taker_fee_rate,ask_price,ask_size,bid_price,bid_size,market_price,delta,gamma,vega,theta,iv,mark,ts
BTC-USD,BTC-20260529-220000-P,option,True,1,P,220000.0,20260529,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64014.0,-0.99992,1e-08,0.09423,-0.03286,0.62709,154927.0,1772274862650
BTC-USD,BTC-20260529-220000-C,option,True,1,C,220000.0,20260529,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64014.0,7e-05,1e-08,0.09423,-0.03286,0.62709,0.0,1772274862650
BTC-USD,BTC-20260529-200000-P,option,True,1,P,200000.0,20260529,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64014.0,-0.99975,4e-08,0.28755,-0.10029,0.62709,135024.0,1772274862652
BTC-USD,BTC-20260529-200000-C,option,True,1,C,200000.0,20260529,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64014.0,0.00024,4e-08,0.28755,-0.10029,0.62709,1.0,1772274862651
BTC-USD,BTC-20260529-180000-P,option,True,1,P,180000.0,20260529,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64014.0,-0.99918,1.3e-07,0.88492,-0.30866,0.62709,115124.0,1772274861742
BTC-USD,BTC-20260529-180000-C,option,True,1,C,180000.0,20260529,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64014.0,0.00081,1.3e-07,0.88492,-0.30866,0.62709,4.0,1772274862752
BTC-USD,BTC-20260529-160000-P,option,True,1,P,160000.0,20260529,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64014.0,-0.99762,3.7e-07,2.35632,-0.8086,0.61696,95228.0,1772274863661
BTC-USD,BTC-20260529-160000-C,option,True,1,C,160000.0,20260529,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64014.0,0.00237,3.7e-07,2.35632,-0.8086,0.61696,12.0,1772274862953
BTC-USD,BTC-20260529-140000-P,option,True,1,P,140000.0,20260529,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64014.0,-0.99442,8.5e-07,5.05989,-1.64391,0.5841,75342.0,1772274862753
BTC-USD,BTC-20260529-140000-C,option,True,1,C,140000.0,20260529,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64014.0,0.00557,8.5e-07,5.05989,-1.64391,0.5841,30.0,1772274863323
BTC-USD,BTC-20260529-130000-P,option,True,1,P,130000.0,20260529,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64014.0,-0.991,1.34e-06,7.71466,-2.42735,0.56567,65410.0,1772274863561
BTC-USD,BTC-20260529-130000-C,option,True,1,C,130000.0,20260529,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64014.0,0.00899,1.34e-06,7.71466,-2.42735,0.56567,49.0,1772274862650
BTC-USD,BTC-20260529-120000-P,option,True,1,P,120000.0,20260529,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64014.0,-0.98486,2.18e-06,12.12116,-3.6799,0.54581,55494.0,1772274862449
BTC-USD,BTC-20260529-120000-C,option,True,1,C,120000.0,20260529,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64014.0,0.01513,2.18e-06,12.12116,-3.6799,0.54581,85.0,1772274862550
BTC-USD,BTC-20260529-110000-P,option,True,1,P,110000.0,20260529,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64014.0,-0.97323,3.69e-06,19.65609,-5.73583,0.52463,45612.0,1772274863055
BTC-USD,BTC-20260529-110000-C,option,True,1,C,110000.0,20260529,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64014.0,0.02676,3.69e-06,19.65609,-5.73583,0.52463,155.0,1772274863055
BTC-USD,BTC-20260529-100000-P,option,True,1,P,100000.0,20260529,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64014.0,-0.9499,6.43e-06,32.81526,-9.17578,0.50271,35810.0,1772274861944
BTC-USD,BTC-20260529-100000-C,option,True,1,C,100000.0,20260529,0.01,1e-05,0.0001,0.0003,359.0,1.79584,176.0,3.3,64014.0,0.05009,6.43e-06,32.81525,-9.17578,0.50271,305.0,1772274862549
BTC-USD,BTC-20260424-95000-P,option,True,1,P,95000.0,20260424,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64000.0,-0.96057,6.29e-06,21.13954,-10.47495,0.544,31009.0,1772274859315
BTC-USD,BTC-20260424-95000-C,option,True,1,C,95000.0,20260424,0.01,1e-05,0.0001,0.0003,207.0,2.94595,87.0,2.94595,64021.0,0.03946,6.3e-06,21.16357,-10.48117,0.5437,199.0,1772274868815
BTC-USD,BTC-20260424-90000-P,option,True,1,P,90000.0,20260424,0.01,1e-05,0.0001,0.0003,26148.0,0.02,0.0,0.0,64021.0,-0.942,8.93e-06,28.79858,-13.69026,0.52189,26098.0,1772274866894
BTC-USD,BTC-20260424-90000-C,option,True,1,C,90000.0,20260424,0.01,1e-05,0.0001,0.0003,283.0,2.94595,156.0,2.94595,64014.0,0.05809,8.93e-06,28.83108,-13.71606,0.52229,299.0,1772274863762
BTC-USD,BTC-20260424-85000-P,option,True,1,P,85000.0,20260424,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64021.0,-0.9124,1.28e-05,39.51377,-17.98244,0.49962,21273.0,1772274867466
BTC-USD,BTC-20260424-85000-C,option,True,1,C,85000.0,20260424,0.01,1e-05,0.0001,0.0003,443.0,2.94595,352.0,2.0,64014.0,0.08775,1.281e-05,39.56359,-18.02357,0.50013,465.0,1772274864369
BTC-USD,BTC-20260424-80000-P,option,True,1,P,80000.0,20260424,0.01,1e-05,0.0001,0.0003,0.0,0.0,0.0,0.0,64014.0,-0.86346,1.835e-05,54.31737,-23.70716,0.47916,16586.0,1772274863661
BTC-USD,BTC-20260424-80000-C,option,True,1,C,80000.0,20260424,0.01,1e-05,0.0001,0.0003,777.0,2.94595,653.0,2.0,64014.0,0.13653,1.835e-05,54.31739,-23.70716,0.47916,760.0,1772274862651
BTC-USD,BTC-20260424-78000-P,option,True,1,P,78000.0,20260424,0.01,1e-05,0.0001,0.0003,15135.0,1.0,14432.0,1.0,64000.0,-0.83609,2.106e-05,61.34579,-26.36968,0.47191,14781.0,1772274859720
BTC-USD,BTC-20260424-78000-C,option,True,1,C,78000.0,20260424,0.01,1e-05,0.0001,0.0003,970.0,1.0,874.0,1.0,64014.0,0.16419,2.107e-05,61.42837,-26.40519,0.47191,939.0,1772274861034
BTC-USD,BTC-20260424-76000-P,option,True,1,P,76000.0,20260424,0.01,1e-05,0.0001,0.0003,13332.0,1.0,12697.0,1.0,64014.0,-0.8019,2.401e-05,69.10129,-29.32854,0.46596,13008.0,1772274860631
BTC-USD,BTC-20260424-76000-C,option,True,1,C,76000.0,20260424,0.01,1e-05,0.0001,0.0003,1246.0,1.0,1138.0,1.0,64014.0,0.19809,2.401e-05,69.10126,-29.32854,0.46596,1174.0,1772274862450
BTC-USD,BTC-20260424-75000-P,option,True,1,P,75000.0,20260424,0.01,1e-05,0.0001,0.0003,12525.0,2.0,11890.0,1.0,64014.0,-0.78226,2.552e-05,73.06863,-30.85965,0.46366,12154.0,1772274861741
BTC-USD,BTC-20260424-75000-C,option,True,1,C,75000.0,20260424,0.01,1e-05,0.0001,0.0003,1551.0,4.94595,1550.0,7e-05,64014.0,0.21773,2.552e-05,73.06864,-30.85965,0.46366,1317.0,1772274860898
BTC-USD,BTC-20260424-74000-P,option,True,1,P,74000.0,20260424,0.01,1e-05,0.0001,0.0003,11628.0,1.0,11109.0,2.0,64014.0,-0.76067,2.701e-05,77.05447,-32.42288,0.46195,11320.0,1772274862044
BTC-USD,BTC-20260424-74000-C,option,True,1,C,74000.0,20260424,0.01,1e-05,0.0001,0.0003,1603.0,1.0,1480.0,1.0,64021.0,0.23913,2.703e-05,77.03024,-32.36805,0.46131,1479.0,1772274868714
BTC-USD,BTC-20260424-72000-P,option,True,1,P,72000.0,20260424,0.01,1e-05,0.0001,0.0003,10082.0,2.0,9609.0,2.0,64014.0,-0.71141,2.98e-05,84.78132,-35.57853,0.46071,9731.0,1772274863257
BTC-USD,BTC-20260424-72000-C,option,True,1,C,72000.0,20260424,0.01,1e-05,0.0001,0.0003,2067.0,1.0,1928.0,2.0,64014.0,0.28858,2.98e-05,84.78133,-35.57853,0.46071,1888.0,1772274862752
BTC-USD,BTC-20260424-70000-P,option,True,1,P,70000.0,20260424,0.01,1e-05,0.0001,0.0003,8553.0,1.0,8235.0,2.0,64014.0,-0.65426,3.2e-05,91.53729,-38.61379,0.46311,8267.0,1772274862046
BTC-USD,BTC-20260424-70000-C,option,True,1,C,70000.0,20260424,0.01,1e-05,0.0001,0.0003,2675.0,1.0,2500.0,2.0,64014.0,0.34573,3.2e-05,91.53728,-38.61379,0.46311,2420.0,1772274863763
